"platform","hospital","x","est","lo","hi"
"Versius","BE",21,185.039804090728,172.607926857165,199.490791138809
"Versius","BE",22,185.006866422938,172.642871799133,199.417985117599
"Versius","BE",23,184.978879869594,172.703683285086,199.313847456341
"Versius","BE",24,184.956113651761,172.781470581066,199.180137830791
"Versius","BE",25,184.938824883916,172.733735627533,199.076220131708
"Versius","BE",26,184.9272570394,172.715095247191,199.294480949982
"Versius","BE",27,184.921638506805,172.613119782179,199.442216633073
"Versius","BE",28,184.922181239549,172.603916705033,199.420478288513
"Versius","BE",29,184.929079500741,172.567013694845,199.344908022499
"Versius","BE",30,184.94250870533,172.600554606156,199.215388442285
"Versius","BE",31,184.962624361381,172.645860842199,199.259084728755
"Versius","BE",32,184.989561112205,172.657100851526,199.554365446
"Versius","BE",33,185.023431880939,172.740096461118,199.575201346265
"Versius","BE",34,185.064327119047,172.5745168016,199.545381503072
"Versius","BE",35,185.112314160056,172.476508332139,199.794437921388
"Versius","BE",36,185.167436679724,172.581117000311,199.778265326065
"Versius","BE",37,185.22971426368,172.606189561504,199.71918854772
"Versius","BE",38,185.299142083406,172.772687792325,199.787532962884
"Versius","BE",39,185.37569068129,172.682616496965,199.934305671469
"Versius","BE",40,185.459305865251,172.630644462567,199.955381676237
"Versius","BE",41,185.549908713278,172.792489731506,200.070246387388
"Versius","BE",42,185.647395687974,173.002777067899,200.300759665834
"Versius","BE",43,185.751638860979,173.218475337858,200.159785765601
"Versius","BE",44,185.862486246849,173.351726808304,200.161303252005
"Versius","BE",45,185.979762245728,173.445718353727,200.248368904303
"Versius","BE",46,186.103268193778,173.544960524572,200.542085490909
"Versius","BE",47,186.232783020056,173.617129719696,200.54243915938
"Versius","BE",48,186.368064008098,173.931483093056,200.670518139253
"Versius","BE",49,186.508847660136,174.14061266091,200.659372599075
"Versius","BE",50,186.654850661402,174.220669789149,200.595700456203
"Versius","BE",51,186.80577094158,174.423078811444,200.515199701886
"Versius","BE",52,186.961288829956,174.468680444542,200.602411321243
"Versius","BE",53,187.12106830036,174.61546200576,200.477847667726
"Versius","BE",54,187.284758301487,174.846376721578,200.505790905858
"Versius","BE",55,187.451994167629,175.019450807758,200.534797453933
"Versius","BE",56,187.62239910439,175.357903245263,200.558654012286
"Versius","BE",57,187.795585743342,175.65823243242,200.716137905228
"Versius","BE",58,187.971157759114,175.911363395504,200.949276865803
"Versius","BE",59,188.148711541829,176.021068358377,201.082327398078
"Versius","BE",60,188.32783791732,176.444431761091,201.210892010203
"Versius","BE",61,188.50812390703,176.737032372577,201.319931180328
"Versius","BE",62,188.689154519055,176.961014399861,201.378687251323
"Versius","BE",63,188.870514561316,177.35173444321,201.444259484543
"Versius","BE",64,189.05179046747,177.599324606881,201.495894991419
